id,name,category,proteins,p_value,fdr_rate
GO:0060828,Regulation of canonical wnt signaling pathway,Biological Process (Gene Ontology),"['10090.ENSMUSP00000110746', '10090.ENSMUSP00000010044', '10090.ENSMUSP00000099428', '10090.ENSMUSP00000085549', '10090.ENSMUSP00000018274', '10090.ENSMUSP00000113975', '10090.ENSMUSP00000029175', '10090.ENSMUSP00000002029', '10090.ENSMUSP00000051331', '10090.ENSMUSP00000061427', '10090.ENSMUSP00000025729', '10090.ENSMUSP00000089212', '10090.ENSMUSP00000000804', '10090.ENSMUSP00000030164', '10090.ENSMUSP00000133302', '10090.ENSMUSP00000071654', '10090.ENSMUSP00000063001', '10090.ENSMUSP00000124131', '10090.ENSMUSP00000128871', '10090.ENSMUSP00000004990', '10090.ENSMUSP00000002518']",0.005186814282727896,0.04844099737771764
GO:0042491,Inner ear auditory receptor cell differentiation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000040859', '10090.ENSMUSP00000038801', '10090.ENSMUSP00000023707', '10090.ENSMUSP00000021091', '10090.ENSMUSP00000101101', '10090.ENSMUSP00000046329', '10090.ENSMUSP00000081041']",0.005167000323351658,0.04827460294372229
GO:0017145,Stem cell division,Biological Process (Gene Ontology),"['10090.ENSMUSP00000021091', '10090.ENSMUSP00000101833', '10090.ENSMUSP00000130145', '10090.ENSMUSP00000010044', '10090.ENSMUSP00000032180', '10090.ENSMUSP00000031876', '10090.ENSMUSP00000081041']",0.005167000323351658,0.04827460294372229
GO:0032008,Positive regulation of tor signaling,Biological Process (Gene Ontology),"['10090.ENSMUSP00000050488', '10090.ENSMUSP00000124052', '10090.ENSMUSP00000099758', '10090.ENSMUSP00000054852', '10090.ENSMUSP00000099728', '10090.ENSMUSP00000124782', '10090.ENSMUSP00000033828']",0.005167000323351658,0.04827460294372229
GO:1990845,Adaptive thermogenesis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000099585', '10090.ENSMUSP00000020500', '10090.ENSMUSP00000080162', '10090.ENSMUSP00000047571', '10090.ENSMUSP00000029677']",0.0051577873128117865,0.0482444734329183
GO:0099149,Regulation of postsynaptic neurotransmitter receptor internalization,Biological Process (Gene Ontology),"['10090.ENSMUSP00000023390', '10090.ENSMUSP00000034740', '10090.ENSMUSP00000039440', '10090.ENSMUSP00000072732', '10090.ENSMUSP00000100964']",0.0051577873128117865,0.0482444734329183
GO:0042474,Middle ear morphogenesis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000061427', '10090.ENSMUSP00000061877', '10090.ENSMUSP00000064555', '10090.ENSMUSP00000090335', '10090.ENSMUSP00000081041']",0.0051577873128117865,0.0482444734329183
MMU-210500,Glutamate Neurotransmitter Release Cycle,Reactome Pathways,"['10090.ENSMUSP00000023099', '10090.ENSMUSP00000110158', '10090.ENSMUSP00000105719', '10090.ENSMUSP00000021273', '10090.ENSMUSP00000005493']",0.0051577873128117865,0.0482444734329183
GO:0051457,Maintenance of protein location in nucleus,Biological Process (Gene Ontology),"['10090.ENSMUSP00000039440', '10090.ENSMUSP00000108504', '10090.ENSMUSP00000086724', '10090.ENSMUSP00000047571', '10090.ENSMUSP00000030814']",0.0051577873128117865,0.0482444734329183
GO:0030705,Cytoskeleton-dependent intracellular transport,Biological Process (Gene Ontology),"['10090.ENSMUSP00000109237', '10090.ENSMUSP00000044482', '10090.ENSMUSP00000050481', '10090.ENSMUSP00000023707', '10090.ENSMUSP00000021091', '10090.ENSMUSP00000009157', '10090.ENSMUSP00000122090', '10090.ENSMUSP00000030623', '10090.ENSMUSP00000064787', '10090.ENSMUSP00000139698', '10090.ENSMUSP00000066068', '10090.ENSMUSP00000086724', '10090.ENSMUSP00000015800', '10090.ENSMUSP00000081764', '10090.ENSMUSP00000047697', '10090.ENSMUSP00000047571', '10090.ENSMUSP00000104069', '10090.ENSMUSP00000039709']",0.005149733833717877,0.0482444734329183
GO:0001654,Eye development,Biological Process (Gene Ontology),"['10090.ENSMUSP00000025951', '10090.ENSMUSP00000007130', '10090.ENSMUSP00000029297', '10090.ENSMUSP00000049070', '10090.ENSMUSP00000106025', '10090.ENSMUSP00000119242', '10090.ENSMUSP00000069087', '10090.ENSMUSP00000028963', '10090.ENSMUSP00000000095', '10090.ENSMUSP00000025081', '10090.ENSMUSP00000045973', '10090.ENSMUSP00000027032', '10090.ENSMUSP00000038405', '10090.ENSMUSP00000108413', '10090.ENSMUSP00000033827', '10090.ENSMUSP00000055449', '10090.ENSMUSP00000115883', '10090.ENSMUSP00000043874', '10090.ENSMUSP00000104890', '10090.ENSMUSP00000102711', '10090.ENSMUSP00000064555', '10090.ENSMUSP00000025956', '10090.ENSMUSP00000083620', '10090.ENSMUSP00000028062', '10090.ENSMUSP00000107699', '10090.ENSMUSP00000049852', '10090.ENSMUSP00000122354', '10090.ENSMUSP00000130728', '10090.ENSMUSP00000035129', '10090.ENSMUSP00000101129', '10090.ENSMUSP00000030917', '10090.ENSMUSP00000025183']",0.005147170384030943,0.0482444734329183
GO:0150063,Visual system development,Biological Process (Gene Ontology),"['10090.ENSMUSP00000025951', '10090.ENSMUSP00000007130', '10090.ENSMUSP00000029297', '10090.ENSMUSP00000049070', '10090.ENSMUSP00000106025', '10090.ENSMUSP00000119242', '10090.ENSMUSP00000069087', '10090.ENSMUSP00000028963', '10090.ENSMUSP00000000095', '10090.ENSMUSP00000025081', '10090.ENSMUSP00000045973', '10090.ENSMUSP00000027032', '10090.ENSMUSP00000038405', '10090.ENSMUSP00000108413', '10090.ENSMUSP00000033827', '10090.ENSMUSP00000055449', '10090.ENSMUSP00000115883', '10090.ENSMUSP00000043874', '10090.ENSMUSP00000104890', '10090.ENSMUSP00000102711', '10090.ENSMUSP00000064555', '10090.ENSMUSP00000025956', '10090.ENSMUSP00000083620', '10090.ENSMUSP00000028062', '10090.ENSMUSP00000107699', '10090.ENSMUSP00000049852', '10090.ENSMUSP00000122354', '10090.ENSMUSP00000130728', '10090.ENSMUSP00000035129', '10090.ENSMUSP00000101129', '10090.ENSMUSP00000030917', '10090.ENSMUSP00000025183']",0.005147170384030943,0.0482444734329183
GO:0007420,Brain development,Biological Process (Gene Ontology),"['10090.ENSMUSP00000018748', '10090.ENSMUSP00000033699', '10090.ENSMUSP00000007130', '10090.ENSMUSP00000072615', '10090.ENSMUSP00000079752', '10090.ENSMUSP00000010044', '10090.ENSMUSP00000087457', '10090.ENSMUSP00000101105', '10090.ENSMUSP00000029297', '10090.ENSMUSP00000114705', '10090.ENSMUSP00000124846', '10090.ENSMUSP00000114123', '10090.ENSMUSP00000085192', '10090.ENSMUSP00000013807', '10090.ENSMUSP00000029780', '10090.ENSMUSP00000001304', '10090.ENSMUSP00000119242', '10090.ENSMUSP00000023099', '10090.ENSMUSP00000029175', '10090.ENSMUSP00000056715', '10090.ENSMUSP00000105295', '10090.ENSMUSP00000081041', '10090.ENSMUSP00000099488', '10090.ENSMUSP00000109794', '10090.ENSMUSP00000061427', '10090.ENSMUSP00000006828', '10090.ENSMUSP00000047697', '10090.ENSMUSP00000041732', '10090.ENSMUSP00000000127', '10090.ENSMUSP00000014174', '10090.ENSMUSP00000112410', '10090.ENSMUSP00000086716', '10090.ENSMUSP00000116313', '10090.ENSMUSP00000038514', '10090.ENSMUSP00000032180', '10090.ENSMUSP00000037699', '10090.ENSMUSP00000086724', '10090.ENSMUSP00000064555', '10090.ENSMUSP00000017920', '10090.ENSMUSP00000072428', '10090.ENSMUSP00000030814', '10090.ENSMUSP00000006181', '10090.ENSMUSP00000124052', '10090.ENSMUSP00000132735', '10090.ENSMUSP00000021091', '10090.ENSMUSP00000064048', '10090.ENSMUSP00000049852', '10090.ENSMUSP00000122354', '10090.ENSMUSP00000066864', '10090.ENSMUSP00000029172', '10090.ENSMUSP00000070993', '10090.ENSMUSP00000139698', '10090.ENSMUSP00000030917', '10090.ENSMUSP00000039709']",0.005111915147642867,0.04796389329135408
GO:0006820,Anion transport,Biological Process (Gene Ontology),"['10090.ENSMUSP00000036916', '10090.ENSMUSP00000025951', '10090.ENSMUSP00000099771', '10090.ENSMUSP00000028549', '10090.ENSMUSP00000099585', '10090.ENSMUSP00000079752', '10090.ENSMUSP00000101105', '10090.ENSMUSP00000029297', '10090.ENSMUSP00000019577', '10090.ENSMUSP00000022293', '10090.ENSMUSP00000023835', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000023099', '10090.ENSMUSP00000003622', '10090.ENSMUSP00000119443', '10090.ENSMUSP00000033752', '10090.ENSMUSP00000072709', '10090.ENSMUSP00000005493', '10090.ENSMUSP00000018610', '10090.ENSMUSP00000014750', '10090.ENSMUSP00000023390', '10090.ENSMUSP00000015256', '10090.ENSMUSP00000133302', '10090.ENSMUSP00000057595', '10090.ENSMUSP00000034049', '10090.ENSMUSP00000104136', '10090.ENSMUSP00000075987', '10090.ENSMUSP00000029041', '10090.ENSMUSP00000049228', '10090.ENSMUSP00000034267', '10090.ENSMUSP00000030010', '10090.ENSMUSP00000103286', '10090.ENSMUSP00000034046', '10090.ENSMUSP00000023959', '10090.ENSMUSP00000111023', '10090.ENSMUSP00000019469', '10090.ENSMUSP00000119447', '10090.ENSMUSP00000070868', '10090.ENSMUSP00000024916']",0.00510908835517758,0.047955986619278496
GO:0034101,Erythrocyte homeostasis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000049355', '10090.ENSMUSP00000105007', '10090.ENSMUSP00000125995', '10090.ENSMUSP00000038405', '10090.ENSMUSP00000115883', '10090.ENSMUSP00000025217', '10090.ENSMUSP00000099428', '10090.ENSMUSP00000022793', '10090.ENSMUSP00000103286', '10090.ENSMUSP00000108143', '10090.ENSMUSP00000125977', '10090.ENSMUSP00000092569']",0.0050459477767431475,0.04738172407299218
GO:0010927,Cellular component assembly involved in morphogenesis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000109337', '10090.ENSMUSP00000087756', '10090.ENSMUSP00000021091', '10090.ENSMUSP00000028963', '10090.ENSMUSP00000087457', '10090.ENSMUSP00000071486', '10090.ENSMUSP00000127070', '10090.ENSMUSP00000027677', '10090.ENSMUSP00000077262', '10090.ENSMUSP00000034133', '10090.ENSMUSP00000005234', '10090.ENSMUSP00000056500']",0.0050459477767431475,0.04738172407299218
GO:0098542,Defense response to other organism,Biological Process (Gene Ontology),"['10090.ENSMUSP00000104548', '10090.ENSMUSP00000052020', '10090.ENSMUSP00000038135', '10090.ENSMUSP00000024044', '10090.ENSMUSP00000035257', '10090.ENSMUSP00000023689', '10090.ENSMUSP00000081322', '10090.ENSMUSP00000084400', '10090.ENSMUSP00000022142', '10090.ENSMUSP00000104158', '10090.ENSMUSP00000076294', '10090.ENSMUSP00000104956', '10090.ENSMUSP00000055535', '10090.ENSMUSP00000030623', '10090.ENSMUSP00000097408', '10090.ENSMUSP00000040755', '10090.ENSMUSP00000071486', '10090.ENSMUSP00000000804', '10090.ENSMUSP00000063744', '10090.ENSMUSP00000026217', '10090.ENSMUSP00000057339', '10090.ENSMUSP00000106014', '10090.ENSMUSP00000029676', '10090.ENSMUSP00000104069', '10090.ENSMUSP00000074436', '10090.ENSMUSP00000020668', '10090.ENSMUSP00000018610', '10090.ENSMUSP00000035203', '10090.ENSMUSP00000125121', '10090.ENSMUSP00000029336', '10090.ENSMUSP00000057635', '10090.ENSMUSP00000011152', '10090.ENSMUSP00000116313', '10090.ENSMUSP00000036936', '10090.ENSMUSP00000044665', '10090.ENSMUSP00000026480', '10090.ENSMUSP00000015484', '10090.ENSMUSP00000083385', '10090.ENSMUSP00000130610', '10090.ENSMUSP00000113890', '10090.ENSMUSP00000033617', '10090.ENSMUSP00000009425', '10090.ENSMUSP00000091703', '10090.ENSMUSP00000028062', '10090.ENSMUSP00000001156', '10090.ENSMUSP00000027657', '10090.ENSMUSP00000035737', '10090.ENSMUSP00000133939', '10090.ENSMUSP00000033053', '10090.ENSMUSP00000056836', '10090.ENSMUSP00000028239', '10090.ENSMUSP00000101129', '10090.ENSMUSP00000029717', '10090.ENSMUSP00000087047', '10090.ENSMUSP00000072895']",0.005030133725511521,0.04726995806594613
GO:1903561,Extracellular vesicle,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000018710', '10090.ENSMUSP00000054499', '10090.ENSMUSP00000043768', '10090.ENSMUSP00000049296', '10090.ENSMUSP00000110374', '10090.ENSMUSP00000071486', '10090.ENSMUSP00000034164', '10090.ENSMUSP00000084846', '10090.ENSMUSP00000029676', '10090.ENSMUSP00000087047', '10090.ENSMUSP00000015800']",0.004994157644630186,0.046950132349557215
GO:0014033,Neural crest cell differentiation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000004994', '10090.ENSMUSP00000054499', '10090.ENSMUSP00000109794', '10090.ENSMUSP00000004646', '10090.ENSMUSP00000038405', '10090.ENSMUSP00000026225', '10090.ENSMUSP00000104511', '10090.ENSMUSP00000015791', '10090.ENSMUSP00000114123', '10090.ENSMUSP00000025393', '10090.ENSMUSP00000051619']",0.004994157644630186,0.046950132349557215
path:mmu04150,mTOR signaling pathway,KEGG,"['10090.ENSMUSP00000063795', '10090.ENSMUSP00000019362', '10090.ENSMUSP00000070583', '10090.ENSMUSP00000099758', '10090.ENSMUSP00000094986', '10090.ENSMUSP00000006431', '10090.ENSMUSP00000049852', '10090.ENSMUSP00000010044', '10090.ENSMUSP00000056774', '10090.ENSMUSP00000032180', '10090.ENSMUSP00000026217', '10090.ENSMUSP00000039660', '10090.ENSMUSP00000051619', '10090.ENSMUSP00000103981', '10090.ENSMUSP00000013807', '10090.ENSMUSP00000000127']",0.004993221878947542,0.046950132349557215
GO:0007498,Mesoderm development,Biological Process (Gene Ontology),"['10090.ENSMUSP00000018748', '10090.ENSMUSP00000119600', '10090.ENSMUSP00000049355', '10090.ENSMUSP00000038405', '10090.ENSMUSP00000000127', '10090.ENSMUSP00000061427', '10090.ENSMUSP00000116313', '10090.ENSMUSP00000115883', '10090.ENSMUSP00000010044', '10090.ENSMUSP00000087457', '10090.ENSMUSP00000025393', '10090.ENSMUSP00000056500', '10090.ENSMUSP00000081041']",0.004990958010859947,0.046950132349557215
path:mmu04723,Retrograde endocannabinoid signaling,KEGG,"['10090.ENSMUSP00000046358', '10090.ENSMUSP00000023085', '10090.ENSMUSP00000110563', '10090.ENSMUSP00000004990', '10090.ENSMUSP00000108413', '10090.ENSMUSP00000107699', '10090.ENSMUSP00000055797', '10090.ENSMUSP00000051619', '10090.ENSMUSP00000042967', '10090.ENSMUSP00000027111', '10090.ENSMUSP00000093939', '10090.ENSMUSP00000023007', '10090.ENSMUSP00000043543', '10090.ENSMUSP00000037255', '10090.ENSMUSP00000005647']",0.004962415720663208,0.04672442071228272
GO:0005770,Late endosome,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000018710', '10090.ENSMUSP00000038801', '10090.ENSMUSP00000023689', '10090.ENSMUSP00000099835', '10090.ENSMUSP00000101105', '10090.ENSMUSP00000104511', '10090.ENSMUSP00000124782', '10090.ENSMUSP00000079905', '10090.ENSMUSP00000067013', '10090.ENSMUSP00000081764', '10090.ENSMUSP00000029164', '10090.ENSMUSP00000029175', '10090.ENSMUSP00000045480', '10090.ENSMUSP00000033207', '10090.ENSMUSP00000133302', '10090.ENSMUSP00000031037', '10090.ENSMUSP00000046340', '10090.ENSMUSP00000051619', '10090.ENSMUSP00000029128', '10090.ENSMUSP00000099953', '10090.ENSMUSP00000015800', '10090.ENSMUSP00000029717', '10090.ENSMUSP00000056500']",0.00481634509345117,0.04536674236504863
GO:0030098,Lymphocyte differentiation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000104548', '10090.ENSMUSP00000007130', '10090.ENSMUSP00000024044', '10090.ENSMUSP00000103679', '10090.ENSMUSP00000101105', '10090.ENSMUSP00000089708', '10090.ENSMUSP00000085744', '10090.ENSMUSP00000136449', '10090.ENSMUSP00000039660', '10090.ENSMUSP00000097721', '10090.ENSMUSP00000039041', '10090.ENSMUSP00000004145', '10090.ENSMUSP00000056774', '10090.ENSMUSP00000097408', '10090.ENSMUSP00000114843', '10090.ENSMUSP00000127024', '10090.ENSMUSP00000130610', '10090.ENSMUSP00000029677', '10090.ENSMUSP00000033617', '10090.ENSMUSP00000086795', '10090.ENSMUSP00000029795', '10090.ENSMUSP00000102770', '10090.ENSMUSP00000029717']",0.00481634509345117,0.04536674236504863
GO:0035091,Phosphatidylinositol binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000099585', '10090.ENSMUSP00000048057', '10090.ENSMUSP00000042875', '10090.ENSMUSP00000045409', '10090.ENSMUSP00000049070', '10090.ENSMUSP00000054233', '10090.ENSMUSP00000120387', '10090.ENSMUSP00000031029', '10090.ENSMUSP00000080325', '10090.ENSMUSP00000061501', '10090.ENSMUSP00000030187', '10090.ENSMUSP00000051092', '10090.ENSMUSP00000127973', '10090.ENSMUSP00000044990', '10090.ENSMUSP00000033617', '10090.ENSMUSP00000020500', '10090.ENSMUSP00000054545', '10090.ENSMUSP00000078985', '10090.ENSMUSP00000070868', '10090.ENSMUSP00000022217', '10090.ENSMUSP00000081912', '10090.ENSMUSP00000028239', '10090.ENSMUSP00000105657']",0.00481634509345117,0.04536674236504863
GO:0051536,Iron-sulfur cluster binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000001027', '10090.ENSMUSP00000100038', '10090.ENSMUSP00000133694', '10090.ENSMUSP00000048383', '10090.ENSMUSP00000027111', '10090.ENSMUSP00000024866', '10090.ENSMUSP00000042967', '10090.ENSMUSP00000048929', '10090.ENSMUSP00000023116']",0.004809851911158309,0.04535861127299896
GO:0051540,Metal cluster binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000001027', '10090.ENSMUSP00000100038', '10090.ENSMUSP00000133694', '10090.ENSMUSP00000048383', '10090.ENSMUSP00000027111', '10090.ENSMUSP00000024866', '10090.ENSMUSP00000042967', '10090.ENSMUSP00000048929', '10090.ENSMUSP00000023116']",0.004809851911158309,0.04535861127299896
GO:0001917,Photoreceptor inner segment,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000027032', '10090.ENSMUSP00000101101', '10090.ENSMUSP00000021548', '10090.ENSMUSP00000046329', '10090.ENSMUSP00000020920', '10090.ENSMUSP00000050454', '10090.ENSMUSP00000015800', '10090.ENSMUSP00000049070', '10090.ENSMUSP00000040310']",0.004809851911158309,0.04535861127299896
MMU-166520,Signaling by NTRKs,Reactome Pathways,"['10090.ENSMUSP00000029175', '10090.ENSMUSP00000099404', '10090.ENSMUSP00000004990', '10090.ENSMUSP00000056774', '10090.ENSMUSP00000038514', '10090.ENSMUSP00000034560', '10090.ENSMUSP00000018470', '10090.ENSMUSP00000017920', '10090.ENSMUSP00000051619', '10090.ENSMUSP00000063795']",0.004789710870140202,0.04522160614503464
GO:0021537,Telencephalon development,Biological Process (Gene Ontology),"['10090.ENSMUSP00000007130', '10090.ENSMUSP00000010044', '10090.ENSMUSP00000029297', '10090.ENSMUSP00000114705', '10090.ENSMUSP00000114123', '10090.ENSMUSP00000124846', '10090.ENSMUSP00000085192', '10090.ENSMUSP00000013807', '10090.ENSMUSP00000081041', '10090.ENSMUSP00000119242', '10090.ENSMUSP00000023099', '10090.ENSMUSP00000047697', '10090.ENSMUSP00000041732', '10090.ENSMUSP00000014174', '10090.ENSMUSP00000112410', '10090.ENSMUSP00000086716', '10090.ENSMUSP00000086724', '10090.ENSMUSP00000017920', '10090.ENSMUSP00000030814', '10090.ENSMUSP00000124052', '10090.ENSMUSP00000021091', '10090.ENSMUSP00000064048', '10090.ENSMUSP00000139698', '10090.ENSMUSP00000070993', '10090.ENSMUSP00000030917']",0.004779181221054616,0.04513982419417353
