category,fdr_rate,name,proteins
Molecular Function (Gene Ontology),1.0622634709051877e-20,"Catalytic activity","10090.ENSMUSP00000053971,10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000116130,10090.ENSMUSP00000129169,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000113792,10090.ENSMUSP00000015829,10090.ENSMUSP00000097743,10090.ENSMUSP00000040048,10090.ENSMUSP00000023116,10090.ENSMUSP00000031354,10090.ENSMUSP00000043041,10090.ENSMUSP00000013995,10090.ENSMUSP00000080256,10090.ENSMUSP00000031445,10090.ENSMUSP00000078436,10090.ENSMUSP00000001963,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000033695,10090.ENSMUSP00000010795,10090.ENSMUSP00000034441,10090.ENSMUSP00000002549,10090.ENSMUSP00000068940,10090.ENSMUSP00000092702,10090.ENSMUSP00000026208,10090.ENSMUSP00000031707,10090.ENSMUSP00000007251,10090.ENSMUSP00000062037,10090.ENSMUSP00000011492,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000063548,10090.ENSMUSP00000097860,10090.ENSMUSP00000103012,10090.ENSMUSP00000072483,10090.ENSMUSP00000034547,10090.ENSMUSP00000099642,10090.ENSMUSP00000043424,10090.ENSMUSP00000009058,10090.ENSMUSP00000027888,10090.ENSMUSP00000038361,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000047927,10090.ENSMUSP00000044134,10090.ENSMUSP00000035246,10090.ENSMUSP00000100038,10090.ENSMUSP00000099634,10090.ENSMUSP00000099490,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000112908,10090.ENSMUSP00000007005,10090.ENSMUSP00000021666,10090.ENSMUSP00000053558,10090.ENSMUSP00000040465,10090.ENSMUSP00000126916,10090.ENSMUSP00000140827,10090.ENSMUSP00000008094,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),1.6118919474755659e-18,"Nucleotide binding","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000015829,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000031445,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000110172,10090.ENSMUSP00000026208,10090.ENSMUSP00000011492,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000099642,10090.ENSMUSP00000097860,10090.ENSMUSP00000103012,10090.ENSMUSP00000072483,10090.ENSMUSP00000043424,10090.ENSMUSP00000009058,10090.ENSMUSP00000027888,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000112908,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),1.6118919474755659e-18,"Nucleoside phosphate binding","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000015829,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000031445,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000110172,10090.ENSMUSP00000026208,10090.ENSMUSP00000011492,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000099642,10090.ENSMUSP00000097860,10090.ENSMUSP00000103012,10090.ENSMUSP00000072483,10090.ENSMUSP00000043424,10090.ENSMUSP00000009058,10090.ENSMUSP00000027888,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000112908,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),2.2148421410969032e-18,"Fatty acid metabolic process","10090.ENSMUSP00000015829,10090.ENSMUSP00000080256,10090.ENSMUSP00000031445,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000010795,10090.ENSMUSP00000068940,10090.ENSMUSP00000092702,10090.ENSMUSP00000007251,10090.ENSMUSP00000011492,10090.ENSMUSP00000099642,10090.ENSMUSP00000072483,10090.ENSMUSP00000103012,10090.ENSMUSP00000034547,10090.ENSMUSP00000043424,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000029770,10090.ENSMUSP00000007005,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),2.9737778898497023e-18,"Active transmembrane transporter activity","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000068940,10090.ENSMUSP00000026208,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000097860,10090.ENSMUSP00000009058,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465"
Molecular Function (Gene Ontology),4.57389120968791e-18,"Purine ribonucleotide binding","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000031445,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000110172,10090.ENSMUSP00000026208,10090.ENSMUSP00000011492,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000099642,10090.ENSMUSP00000097860,10090.ENSMUSP00000103012,10090.ENSMUSP00000072483,10090.ENSMUSP00000009058,10090.ENSMUSP00000027888,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),4.693743259664241e-18,"Cellular lipid catabolic process","10090.ENSMUSP00000129169,10090.ENSMUSP00000040048,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000010795,10090.ENSMUSP00000068940,10090.ENSMUSP00000007251,10090.ENSMUSP00000062037,10090.ENSMUSP00000072483,10090.ENSMUSP00000034547,10090.ENSMUSP00000043424,10090.ENSMUSP00000038361,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000099634,10090.ENSMUSP00000029770,10090.ENSMUSP00000007005,10090.ENSMUSP00000053558,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),5.382915409981137e-18,"Purine nucleotide binding","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000031445,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000110172,10090.ENSMUSP00000026208,10090.ENSMUSP00000011492,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000099642,10090.ENSMUSP00000097860,10090.ENSMUSP00000103012,10090.ENSMUSP00000072483,10090.ENSMUSP00000009058,10090.ENSMUSP00000027888,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),5.4389826996552526e-18,"Ribonucleotide binding","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000031445,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000110172,10090.ENSMUSP00000026208,10090.ENSMUSP00000011492,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000099642,10090.ENSMUSP00000097860,10090.ENSMUSP00000103012,10090.ENSMUSP00000072483,10090.ENSMUSP00000009058,10090.ENSMUSP00000027888,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),1.091835418511478e-17,"Cellular lipid metabolic process","10090.ENSMUSP00000129169,10090.ENSMUSP00000015829,10090.ENSMUSP00000040048,10090.ENSMUSP00000080256,10090.ENSMUSP00000031445,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000010795,10090.ENSMUSP00000002549,10090.ENSMUSP00000068940,10090.ENSMUSP00000092702,10090.ENSMUSP00000007251,10090.ENSMUSP00000062037,10090.ENSMUSP00000011492,10090.ENSMUSP00000112538,10090.ENSMUSP00000099642,10090.ENSMUSP00000072483,10090.ENSMUSP00000103012,10090.ENSMUSP00000034547,10090.ENSMUSP00000043424,10090.ENSMUSP00000038361,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000044134,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000029770,10090.ENSMUSP00000007005,10090.ENSMUSP00000053558,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),1.3611359675772305e-17,"Small molecule metabolic process","10090.ENSMUSP00000053971,10090.ENSMUSP00000015829,10090.ENSMUSP00000040048,10090.ENSMUSP00000023116,10090.ENSMUSP00000080256,10090.ENSMUSP00000031445,10090.ENSMUSP00000078436,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000010795,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000026208,10090.ENSMUSP00000092702,10090.ENSMUSP00000031707,10090.ENSMUSP00000007251,10090.ENSMUSP00000062037,10090.ENSMUSP00000011492,10090.ENSMUSP00000063548,10090.ENSMUSP00000072483,10090.ENSMUSP00000103012,10090.ENSMUSP00000099642,10090.ENSMUSP00000034547,10090.ENSMUSP00000043424,10090.ENSMUSP00000024733,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000044134,10090.ENSMUSP00000100038,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000112908,10090.ENSMUSP00000007005,10090.ENSMUSP00000021666,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),2.066596719373552e-17,"Small molecule binding","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000015829,10090.ENSMUSP00000097743,10090.ENSMUSP00000031354,10090.ENSMUSP00000013995,10090.ENSMUSP00000031445,10090.ENSMUSP00000078436,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000068940,10090.ENSMUSP00000110172,10090.ENSMUSP00000026208,10090.ENSMUSP00000011492,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000063548,10090.ENSMUSP00000097860,10090.ENSMUSP00000103012,10090.ENSMUSP00000072483,10090.ENSMUSP00000099642,10090.ENSMUSP00000043424,10090.ENSMUSP00000009058,10090.ENSMUSP00000027888,10090.ENSMUSP00000024733,10090.ENSMUSP00000075167,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000047927,10090.ENSMUSP00000035246,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000138215,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000112908,10090.ENSMUSP00000021666,10090.ENSMUSP00000040465,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Biological Process (Gene Ontology),3.9364641088730265e-17,"Monocarboxylic acid metabolic process","10090.ENSMUSP00000015829,10090.ENSMUSP00000080256,10090.ENSMUSP00000031445,10090.ENSMUSP00000042351,10090.ENSMUSP00000037348,10090.ENSMUSP00000010795,10090.ENSMUSP00000068940,10090.ENSMUSP00000026208,10090.ENSMUSP00000092702,10090.ENSMUSP00000007251,10090.ENSMUSP00000011492,10090.ENSMUSP00000063548,10090.ENSMUSP00000072483,10090.ENSMUSP00000103012,10090.ENSMUSP00000099642,10090.ENSMUSP00000034547,10090.ENSMUSP00000043424,10090.ENSMUSP00000002084,10090.ENSMUSP00000027153,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000029770,10090.ENSMUSP00000007005,10090.ENSMUSP00000113792,10090.ENSMUSP00000031524"
Molecular Function (Gene Ontology),8.587143781040241e-17,"Hydrolase activity","10090.ENSMUSP00000041204,10090.ENSMUSP00000069495,10090.ENSMUSP00000116130,10090.ENSMUSP00000129169,10090.ENSMUSP00000110729,10090.ENSMUSP00000036881,10090.ENSMUSP00000097743,10090.ENSMUSP00000040048,10090.ENSMUSP00000031354,10090.ENSMUSP00000043041,10090.ENSMUSP00000013995,10090.ENSMUSP00000080256,10090.ENSMUSP00000001963,10090.ENSMUSP00000027396,10090.ENSMUSP00000075011,10090.ENSMUSP00000037348,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000002549,10090.ENSMUSP00000068940,10090.ENSMUSP00000026208,10090.ENSMUSP00000092702,10090.ENSMUSP00000007251,10090.ENSMUSP00000062037,10090.ENSMUSP00000030795,10090.ENSMUSP00000112538,10090.ENSMUSP00000020948,10090.ENSMUSP00000003319,10090.ENSMUSP00000079379,10090.ENSMUSP00000097860,10090.ENSMUSP00000009058,10090.ENSMUSP00000038361,10090.ENSMUSP00000024733,10090.ENSMUSP00000035458,10090.ENSMUSP00000002084,10090.ENSMUSP00000047927,10090.ENSMUSP00000044134,10090.ENSMUSP00000035246,10090.ENSMUSP00000029770,10090.ENSMUSP00000031822,10090.ENSMUSP00000021666,10090.ENSMUSP00000053558,10090.ENSMUSP00000040465,10090.ENSMUSP00000126916,10090.ENSMUSP00000140827,10090.ENSMUSP00000008094"
