ENSEMBL,Si_Nippo_vs_Naive,Col_DSS_vs_Naive,Col_Th17_vs_Naive,DRG_Nippo_vs_Naive,DRG_DSS_vs_Naive,DRG_Th17_vs_Naive,SMG_Nippo_vs_Naive,SMG_DSS_vs_Naive,SMG_Th17_vs_Naive,VG_Nippo_vs_Naive,VG_DSS_vs_Naive,VG_Th17_vs_Naive,Si_Nippo_vs_Naive_padj,Col_DSS_vs_Naive_padj,Col_Th17_vs_Naive_padj,DRG_Nippo_vs_Naive_padj,DRG_DSS_vs_Naive_padj,DRG_Th17_vs_Naive_padj,SMG_Nippo_vs_Naive_padj,SMG_DSS_vs_Naive_padj,SMG_Th17_vs_Naive_padj,VG_Nippo_vs_Naive_padj,VG_DSS_vs_Naive_padj,VG_Th17_vs_Naive_padj,mean_count_Si,mean_count_Col,mean_count_DRG,mean_count_SMG,mean_count_VG,SYMBOL,annot,,,
ENSMUSG00000000263,1.18598224293599,1.26889368602664,1.55389059535285,-0.448086424193962,-0.306433911269582,-0.489940801257225,1.21754820597379,1.47512069125001,1.24504742122363,0.375096119359456,0.801506722068193,2.35556490313037,2.73352037997309E-05,0.00455235310843663,0.00209460004072665,0.403123271488544,0.176216441128192,0.171426186278752,0.00489447353616849,0.000259707563001778,0.00220759288337026,0.288409802380608,0.147629165345515,0.0112316365422641,534.720823220729,891.863567779506,592.861001938462,939.142225155179,905.888896241308,Glra1,Glycine receptor subunit alpha-1, Glycine receptors are ligand-gated chloride channels. Channel opening is triggered by extracellular glycine. Channel opening is also triggered by taurine and beta-alanine (By similarity). Channel characteristics depend on the subunit composition, heteropentameric channels are activated by lower glycine levels and display faster desensitization (By similarity). Plays an important role in the down-regulation of neuronal excitability. Contributes to the generation of inhibitory postsynaptic currents. Channel activity is potentiated by ethanol. Potentiatio [...],
ENSMUSG00000000303,0.783708739647525,-0.113779330840481,-0.196900847739754,-0.794112275304855,-0.0141602596698326,0.0444787498558101,1.38638716789941,2.24311127377575,1.37824204139122,-0.133357708277969,-0.0308025811645616,-0.0545021562672053,0.00356091782705765,0.808043580524807,0.697342565432848,0.0217579518099171,0.968244632396875,0.87011303144951,0.000824664507052954,1.35643945635905E-09,0.000307987336012716,0.450890028452045,0.885357604993904,0.689805127420985,425.610378673827,1034.23376900334,4267.11488582178,1016.32767413719,6612.3306717572,Cdh1,"Cadherin-1; Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. CDH1 is involved in mechanisms regulating cell-cell adhesions, mobility and proliferation of epithelial cells. Has a potent invasive suppressor role. It is a ligand for integrin alpha-E/beta-7 (By similarity)",,,
ENSMUSG00000000305,1.03347259384168,1.12494007751017,1.31817318040349,-0.77037062818474,0.0735353791462701,0.0108056384649527,-0.475335894646842,-0.691893383185107,-0.778952543018337,0.0937638478669149,0.0391398298327595,0.0389833105034202,0.000165789788981305,0.000281316667601617,8.24476431354664E-05,0.000503868667424238,0.798510600067652,0.962889558322419,0.138814527741786,0.0267856828880764,0.0132916757782015,0.512598663707995,0.81167620355395,0.767316989479782,3083.38491110138,5909.36941712194,7524.08245047836,8945.9188895042,18895.9533233359,Cdh4,Cadherin-4, Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells, cadherins may thus contribute to the sorting of heterogeneous cell types. May play an important role in retinal development,
ENSMUSG00000000365,1.3909462819267,1.19888403512662,1.32304221615158,1.30561382505403,0.0944681892641065,0.618412190228295,0.764173173053744,1.00371837123551,1.04973588279068,0.209842944936517,0.328134907533409,-0.0293660243582393,1.37618224218126E-07,0.00310887094937665,0.00340512898216063,0.00565914137550145,0.748756670395779,0.0974841121468825,0.0187048067301459,0.00105561497426149,0.000958659706107536,0.282992251292772,0.193966255191135,0.841467544683001,538.508177236752,946.967102130158,325.092853340412,1074.14997133413,674.520326687314,Rnf17,"Tudor domain-containing protein 1/4/6/7; RING finger protein 17; Seems to be involved in regulation of transcriptional activity of MYC. In vitro, inhibits DNA-binding activity of Mad- MAX heterodimers. Can recruit Mad transcriptional repressors (MXD1, MXD3, MXD4 and MXI1) to the cytoplasm. May be involved in spermiogenesis",,,
ENSMUSG00000000394,1.45953288076829,0.648077580483196,0.663815820613816,1.98689199069992,0.013561595969629,1.12481030712102,0.921256047322434,7.48825423021619,1.23425178017434,0.0529989642628343,0.611322234610879,-0.0241367913564696,0.00203141508031252,0.171091376234818,0.211131272615816,0.00392547351408665,1,0.0551772530496465,0.124174136389556,1.89641704681863E-19,0.0397246421436963,0.82844347827976,0.23668783249472,0.865280663851034,33.6365116525872,84.7848001959863,19.4401897238047,1609.33051969676,24.2742261416243,Gcg,Glucagon, Glicentin may modulate gastric acid secretion and gastro-pyloro-duodenal activity,,
ENSMUSG00000000402,1.06126385493618,1.1869842885141,2.28830662908306,1.50722947173156,0.00763038326703366,1.28062304644145,0.511913308221929,0.517280062101398,1.00947596165335,0.358031939581946,0.531853037707251,0.054132842584945,0.00777794671504974,0.00290944998774782,1.08749293159865E-07,0.00577043877619998,0.980242442427367,0.0253459023595838,0.135604276338797,0.134542805471059,0.00281124201888093,0.183177356888591,0.120583072830463,0.692965267541464,270.77281789512,555.355431666158,192.332302361322,621.719481905541,297.747454673903,Egfl6,Epidermal growth factor-like protein 6, May bind integrin alpha-8/beta-1 and play a role in hair follicle morphogenesis. Promotes matrix assembly, Belongs to the nephronectin family,
ENSMUSG00000000409,0.977319087228893,0.973275026000694,1.15156003464979,0.831613851093084,0.246136820246372,0.317076703914349,1.83480175406693,2.29993976804382,1.02691186913001,0.906631283176039,1.04835579575553,0.0467254401944218,0.00603968534887585,0.00388797835998663,0.00179939187045619,0.0202646177256003,0.372103778925001,0.224061930165716,0.000576220441878903,2.81059119326887E-06,0.0313466627045508,0.0122243038682217,0.00390761417995812,0.746217967043048,193.618991618549,312.248557575379,126.342589281319,745.871840811163,285.389876329429,Lck,"Proto-oncogene tyrosine-protein kinase LCK; Non-receptor tyrosine-protein kinase that plays an essential role in the selection and maturation of developing T- cells in the thymus and in the function of mature T-cells. Plays a key role in T-cell antigen receptor (TCR)-linked signal transduction pathways. Constitutively associated with the cytoplasmic portions of the CD4 and CD8 surface receptors. Association of the TCR with a peptide antigen-bound MHC complex facilitates the interaction of CD4 and CD8 with MHC class II and class I molecules, respectively, thereby recruiting the associat [...]",,,
ENSMUSG00000000544,1.13381322368802,0.178636827457395,0.174646093510947,1.94845528927118,0.0260445317294046,0.781772008001088,1.49773361474094,1.7484758124268,1.30352748313286,1.86490180825663,2.40859567417039,-0.0264727120823915,0.000257930316500636,0.703104562040934,0.737200325111746,0.00165009019647154,0.920618326754812,0.0996617108585091,0.00127893529408411,3.66830686526288E-05,0.00205353080387744,0.00740566658399335,0.000543461402689122,0.849458587348636,256.486521145457,587.780914922898,110.96351185623,483.138215811479,167.589417128434,Gpa33,Glycoprotein a33 (transmembrane), Cell surface A33 antigen, May play a role in cell-cell recognition and signaling,
ENSMUSG00000000560,1.05776797069023,1.13147898046082,0.999913050970094,-1.03753019640437,-0.247804876984808,-0.434779337247076,0.937294419435439,1.44430267524751,1.47866507831704,0.00122859585863171,-0.00647956739511486,-0.0229291239795306,5.22579180672076E-05,0.00501280029380753,0.0261861276189968,0.00144229367095191,0.368404489814873,0.0998165095325205,0.0135196991278278,6.16558828652916E-05,0.00010350109607641,0.994451267011248,0.975931585947197,0.880469784492041,576.544629309206,929.662413714908,6353.3934736198,1194.66896510215,9396.59432083212,Gabra2,"Gamma-aminobutyric acid (gaba) a receptor, subunit alpha 2; Gamma-aminobutyric acid receptor subunit alpha-2; GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel",,,
ENSMUSG00000000617,1.48850584104573,1.460692476079,1.61482658783891,1.45853229859163,0.0266044042037601,0.550443436935036,1.66591386533553,1.55505209589213,1.73179976067112,1.57957098096766,2.09187976267022,0.0118043217418261,1.75882000124612E-05,0.000703569653727004,0.000730556012411262,0.0203053282528015,1,0.182668302328812,0.000410768682455467,0.000211659524678009,8.13077403548445E-05,0.0355732867309301,0.00910506075672664,0.937589304418398,98.2889368408174,183.729910038124,42.8557560004902,190.476107499152,63.8758638360787,Grm6,"Glutamate receptor, metabotropic 6; Metabotropic glutamate receptor 6; G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase activity (By similarity). Signaling stimulates TRPM1 channel activity and Ca(2+) uptake. Required for normal vision",,,
ENSMUSG00000000673,-0.424396181219692,0.239533275908685,-0.0319042448686295,2.31040302638647,0.306518859958509,0.313875354432122,0.795605037289719,1.75573062851311,0.621360760642427,0.14431563599755,0.244679010178179,0.0512628424398301,0.286069779951156,0.447177401215251,0.930396032219967,2.18704036236597E-06,0.204516748384649,0.293560523232503,0.0484169839615739,1.00062508546158E-05,0.125267186309854,0.410597313218575,0.298077620851589,0.711072473721391,358.715095973791,402.768238999403,457.408818429638,1019.09327940225,405.182085649508,Haao,"3-hydroxyanthranilate 3,4-dioxygenase; Catalyzes the oxidative ring opening of 3- hydroxyanthranilate to 2-amino-3-carboxymuconate semialdehyde, which spontaneously cyclizes to quinolinate; Belongs to the 3-HAO family",,,
ENSMUSG00000000682,0.961853920391698,-0.199259327133838,0.187789539147763,0.537634624013997,-0.0196775798117912,0.119950825070916,2.51970984284054,2.73175053356334,0.953214996320129,1.04786770745749,1.01726732908676,0.428941569380056,0.0978068990968795,0.706966244880743,0.746950058271289,0.471293417608909,1,0.737330116103031,9.91311481626377E-05,1.15181309722638E-05,0.0999300738825053,0.0847575259368002,0.110976393289867,0.175071357445283,15.6969736035749,32.2561251820567,7.28329993309182,153.79613634604,24.4971769382054,Cd52,"CAMPATH-1 antigen; May play a role in carrying and orienting carbohydrate, as well as having a more specific role",,,
ENSMUSG00000000706,1.07496826207982,1.38675329572461,1.32919115723668,2.2765450854469,0.129313233703772,0.67895672900804,1.75226919402921,2.14726371774987,1.81415579666784,0.49334021416742,1.67203861254605,-0.0395162455951022,0.0327930200644828,0.00506888373118567,0.018286128709165,0.00102157837520392,1,0.144608170004404,0.000334468920680595,1.00763974483194E-06,6.99878722316704E-05,0.223238503948194,0.0277317783153962,0.775382879678344,59.8209971650418,106.287745035832,31.0563813711251,111.41362960137,44.5182329590744,Btn1a1,"Butyrophilin subfamily 1 member A1; May function in the secretion of milk-fat droplets. May act as a specific membrane-associated receptor for the association of cytoplasmic droplets with the apical plasma membrane (By similarity). Inhibits the proliferation of CD4 and CD8 T-cells activated by anti-CD3 antibodies, T-cell metabolism and IL2 and IFNG secretion; Belongs to the immunoglobulin superfamily. BTN/MOG family",,,
ENSMUSG00000000731,0.746310477771622,1.63170533733723,1.7976879185732,1.08932544876267,0.456125052729849,0.646240765036433,1.62190334787286,1.27789372490459,0.918167006518007,0.500290123139631,1.14007565375243,0.045055711822911,0.0538520139822679,6.9435676735148E-05,5.99751843325103E-05,0.0135547187773819,1,0.0772556846643424,0.000981622446349069,0.00446275326538183,0.0409046572441166,0.156452817879527,0.0358437368173639,0.738706629582004,81.7524758421364,113.193485787347,64.3370437581366,135.605595828765,75.4692511022718,Aire,"Autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy); Autoimmune regulator; Transcription factor playing an essential role to promote self-tolerance in the thymus by regulating the expression of a wide array of self-antigens that have the commonality of being tissue-restricted in their expression pattern in the periphery, called tissue restricted antigens (TRA) (Probable). Binds to G-doublets in an A/T-rich environment; the preferred motif is a tandem repeat of 5'-. ATTGGTTA-3' combined with a 5'- TTATTA-3' box. Binds to nucleosomes (By similarity). Bin [...]",,,
ENSMUSG00000000791,0.982757883717892,1.56259967687582,1.75411305336949,1.44346856226396,0.227775552254097,0.997785068966371,1.60056334335445,1.24140634533553,1.21857450338985,0.894019461256267,1.91882220952076,0.0371873712250494,0.0110807403307506,7.56435975563422E-05,4.43468627700025E-05,0.0050939736180037,1,0.0415506344873852,0.00066930697717738,0.00343036634270677,0.00404495065461331,0.0882535599006117,0.00605412561341351,0.784259141934473,83.7561421822083,137.479128340672,47.4914835636176,166.585821018629,77.4093547394931,Il12rb1,"Interleukin-12 receptor subunit beta-1; Functions as an interleukin receptor which binds interleukin-12 with low affinity and is involved in IL12 transduction. Associated with IL12RB2 it forms a functional, high affinity receptor for IL12. Associates also with IL23R to form the interleukin-23 receptor which functions in IL23 signal transduction probably through activation of the Jak-Stat signaling cascade; Belongs to the type I cytokine receptor family. Type 2 subfamily",,,
ENSMUSG00000000915,-1.03836692419561,-1.19006180090565,-2.06995094964433,1.15438086428876,0.479757709645294,0.600921460359414,-0.517977197957171,0.980295811381169,0.4137780704638,-0.0507004862023573,-0.0706135070104577,0.046940066099131,0.00133471814329809,0.00251990406631793,1.34464260982981E-06,4.68447554609489E-05,0.0403128547341743,0.0268188229960929,0.21574443576169,0.0176509277598779,0.340073747067861,0.74244830521997,0.708701389837125,0.739768935017851,1718.95178492408,1981.13291798306,8524.96001236231,5169.09387690572,9097.72292404661,Hip1r,"Huntingtin-interacting protein 1-related protein; Component of clathrin-coated pits and vesicles, that may link the endocytic machinery to the actin cytoskeleton. Binds 3- phosphoinositides (via ENTH domain). May act through the ENTH domain to promote cell survival by stabilizing receptor tyrosine kinases following ligand-induced endocytosis",,,
ENSMUSG00000001021,0.776662394876497,1.35987773870885,1.38297645368181,2.12412778159,0.128646048179194,1.12162399227335,1.13990302651622,1.3476030353021,1.03034550182306,0.476509204238192,1.19986001698054,-0.0100692959982223,0.0240084531162639,0.000487022578652547,0.00129971810505845,7.86367097006006E-05,0.629413562529357,0.0330732869650251,0.00658976738893072,0.000620942915708241,0.00934830277182408,0.169692033834659,0.0331310711184371,0.949680012898099,282.037379619222,485.160164451695,143.155638767121,511.145573409085,229.006391204173,S100a3,"Protein S100-A3; Binds both calcium and zinc. May be involved in calcium- dependent cuticle cell differentiation, hair shaft and hair cuticular barrier formation (By similarity)",,,
ENSMUSG00000001034,-1.36833904710798,-1.43846972662949,-3.09153461339981,1.14015705875644,0.472159233350584,0.559083986519562,-0.789670574346672,0.303777960795672,-0.0501738436318157,-0.107630055776888,-0.384456962402835,0.0172870110509011,5.73153164755101E-05,0.00211780639145386,2.05351710141036E-09,0.000203419371151292,0.0480069932551671,0.0424038730694547,0.0805121707183899,0.5503195930367,0.9264706249406,0.502428266088954,0.164328924998879,0.914622967394656,695.31849753239,808.163439782213,2658.71552125183,1137.52341252695,2748.38832654381,Mapk7,"Mitogen-activated protein kinase 7; Plays a role in various cellular processes such as proliferation, differentiation and cell survival. The upstream activator of MAPK7 is the MAPK kinase MAP2K5. Upon activation, it translocates to the nucleus and phosphorylates various downstream targets including MEF2C. EGF activates MAPK7 through a Ras- independent and MAP2K5-dependent pathway. May have a role in muscle cell differentiation. May be important for endothelial function and maintenance of blood vessel integrity. MAP2K5 and MAPK7 interact specifically with one another and not with MEK1/E [...]",,,
ENSMUSG00000001119,-0.177845268580341,-2.31072178116368,-3.48016682476916,1.28477441655535,0.136847246682986,0.0335827174263123,0.00230227979855773,0.19256082747872,0.520081626199375,0.0859129614372611,0.225601090345123,0.404910580309443,0.65961226429517,1.07386873773553E-06,4.10685871070756E-11,0.000126386714714166,0.659293264706211,0.901519690377651,0.996466565061717,0.706024701220512,0.250866805628757,0.607114445133025,0.379138122668603,0.143590888178811,4244.87720380979,3320.33755042467,1266.81264042416,5732.83365916607,3379.4648297663,Col6a1,Collagen alpha-1(VI) chain, Collagen VI acts as a cell-binding protein, Belongs to the type VI collagen family,
ENSMUSG00000001260,0.789836497203728,1.08175700451088,0.95773395287517,-0.00112399441154101,-0.209474624191015,-0.0373988156319849,0.658579188765175,1.67395456260086,1.2913896660187,0.130610181392642,0.155950807412362,0.0542422247030818,0.0153152787991419,0.00471875170846275,0.023967320525616,0.99824123949006,0.462639095453429,0.893700977868591,0.123344282930754,7.67677847004164E-05,0.00226534523639472,0.406699864343971,0.383664109039064,0.703950973287948,304.587836556987,495.45349019579,337.109099876626,698.152116948726,831.713463585772,Gabrg1,"Gamma-aminobutyric acid (gaba) a receptor, subunit gamma 1; Gamma-aminobutyric acid receptor subunit gamma-1; GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel",,,
ENSMUSG00000001504,1.76946315001314,1.37584579386634,1.53723341132491,1.18846305627769,0.0587935148885458,0.0484377173327315,0.60456275346327,2.60909914984234,-0.0793957390980451,0.936714506250682,1.62189620698875,2.23218570754945,0.000573425247772822,0.00191841110706499,0.00160312700789742,0.0844640959105493,1,0.89284133371154,0.313970275726067,6.94695392422177E-05,0.910907448082227,0.0746947417533135,0.0125521353091603,0.00214335225240945,20.8925693798787,49.5223666640422,19.7256643538524,576.478725956935,82.822682030041,Irx2,Iroquois-class homeodomain protein IRX-2, Iroquois related homeobox 2 (Drosophila),,
ENSMUSG00000001566,1.27375866799434,1.26906965985209,1.51092271483066,1.17178729078289,0.0885375691966008,0.270993082918725,0.952444949306186,2.72902729591238,0.714224034567513,0.625746791325327,1.19540874457002,0.012249956597985,0.00505628374058064,0.00301267550048649,0.00140551600084811,0.0181680958390329,1,0.36669223077396,0.0390451181540924,4.18282648661786E-09,0.128553815202401,0.139718418271479,0.0445376582764241,0.935524535053435,47.1233300159462,86.9192999959196,27.4173385783362,143.663957948631,40.7140160627371,Mnx1,Motor neuron and pancreas homeobox protein 1, Putative transcription factor involved in pancreas development and function,,
ENSMUSG00000001583,-0.365418276162557,-0.980067087369479,-0.861679073031372,0.356068312559511,0.154223448177437,0.134071165219583,0.278806610298047,1.86277244633916,0.874980564763187,0.161314102221473,0.301499933530934,0.0461267523418408,0.358211493061138,0.0302292775601584,0.0906602180112864,0.382299574628622,1,0.608156400258274,0.512043535227429,3.48948414704714E-06,0.0300685638806749,0.406546649771908,0.279980306008719,0.734294370317502,70.433599725979,135.903655684288,33.9256579104729,249.588718310311,104.233978610789,Tnk1,Non-receptor tyrosine-protein kinase TNK1, May function in signaling pathways utilized broadly during fetal development and more selectively in adult tissues and in cells of the lymphohematopoietic system. Could specifically be involved in phospholipid signal transduction (By similarity). Involved in negative regulation of cell growth. Has tumor suppressor properties. Plays a negative regulatory role in the Ras-MAPK pathway,,
ENSMUSG00000001604,-0.164128991863743,-0.995370130603937,-1.05501925285966,1.10057446553365,0.143744981025722,0.386374702230616,0.849973702367583,1.27864359304586,0.656217803185441,0.115895706940397,0.6411725674626,0.0180833975645237,0.592309839003474,0.0354637092652923,0.0499994088938785,0.0147702888851886,0.620089543198853,0.209591481600788,0.0143959491317667,9.35414240287808E-05,0.0515920238113052,0.502378404818203,0.100818652192244,0.906380225843276,352.402570593598,689.679186930558,139.996623607976,588.73205370378,358.494147806859,Tcea3,"Transcription elongation factor A protein 3; Necessary for efficient RNA polymerase II transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by S-II allows the resumption of elongation from the new 3'-terminus",,,
